Origine: nom UO;Bassin de collecte;Acteur: nom UO;Type de transaction;Sous type de transaction;Contenant;Prix de base;Indice;Date prix de base;Date de début;Date de fin
CDP2123-PRAXY - JURA RECYCLAGE;;CDP2123-PRAXY - JURA RECYCLAGE;Evacuation;Ferrailles en mélange;;-115 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/01/2021;01/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Retrait;Benne 30m3;287.9 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Rotation;Benne 30m3;287.9 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Depose;Benne 30m3;95.47 €;Pas de variation;01/08/2020;31/01/2021;
CDT2123-PRAXY - MEMPONTEL;;CDT2123-PRAXY - MEMPONTEL;Evacuation;non DEA DIB ISDND;;150 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB ISDND;;190 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB UVE;;161 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB UVE;;190 €;Pas de variation;01/08/2020;01/01/2020;01/01/2021
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB ISDND;;161 €;Pas de variation;01/08/2020;01/01/2021;01/01/2021
CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;;CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;Evacuation;Bois B;;87 €;Bois B - SUD EST;01/12/2020;09/02/2021;
CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;;CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;Evacuation;Bois B;;86 €;Bois B - SUD EST;01/12/2020;09/02/2021;09/02/2021
CDP2123-PRAXY - CAP RECYCLAGE;;CDP2123-PRAXY - CAP RECYCLAGE;Evacuation;Bois B;;62 €;Bois B - CENTRE OUEST;01/12/2020;09/02/2021;
CDP2123-PRAXY - MEMPONTEL;;CDP2123-PRAXY - MEMPONTEL;Evacuation;Bois B;;33 €;Bois B - CENTRE OUEST;01/12/2020;09/02/2021;
CDP2123-VEOLIA PROPRETE AQUITAINE - Boé / DAMAZAN;;CDP2123-VEOLIA PROPRETE AQUITAINE - Boé / DAMAZAN;Preparation;Ferrailles;;;Pas de variation;01/08/2020;09/02/2021;
CDP2123-SUEZ RV SUD OUEST - NIORT;;CDP2123-SUEZ RV SUD OUEST - NIORT;Preparation;Ferrailles;;;Pas de variation;01/09/2020;09/02/2021;
CDP2123-PRAXY - EPUR CENTRE Digoin;;CDP2123-PRAXY - EPUR CENTRE Digoin;Evacuation;Ferrailles en mélange;;-100 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/12/2020;09/02/2021;
PAV - PRAXY_GUYOT ENVIRONNEMENT - KERVIGNAC;;PAV - PRAXY_GUYOT ENVIRONNEMENT - KERVIGNAC;Commercial;Aide au chargement;;75 €;PAV;01/01/2020;01/01/2020;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Commercial;Location de benne UO;Benne 30m3 UO;2.16 €;Pas de variation;01/08/2020;31/01/2020;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Commercial;Location de benne UO;Benne 30m3 UO;2.17 €;Pas de variation;01/08/2020;31/01/2021;31/01/2021
CDT2123-PRAXY - MEMPONTEL;;CDT2123-PRAXY - MEMPONTEL;Evacuation;Refus de traitement ISDND;;150 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-PRAXY - CAP RECYCLAGE;;CDT2123-PRAXY - CAP RECYCLAGE;Evacuation;non DEA DIB ISDND;;177 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA Cartons;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA bois A;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA papier;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA Cartons;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA papier;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA bois A;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;;CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;Evacuation;Ferrailles en mélange;;-55 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/10/2020;09/02/2021;
CDP2123-VEOLIA PROPRETE MIDI PYRENEES - Villeneuve-Tolosane;;CDP2123-VEOLIA PROPRETE MIDI PYRENEES - Villeneuve-Tolosane;Evacuation;Ferrailles en mélange;;-40 €;Ferrailles en mélange - SUD-OUEST ATLANTIQUE, MIDI PYRENNEES ;01/08/2020;09/02/2021;
CDP2123-REVIVAL ATHIS-MONS;;CDP2123-REVIVAL ATHIS-MONS;Evacuation;Ferrailles en mélange;;-340 €;Ferrailles en mélange -  NORD, EST, IDF;01/01/2021;01/01/2021;01/01/2021
CDP2123-REVIVAL ATHIS-MONS;;CDP2123-REVIVAL ATHIS-MONS;Evacuation;Ferrailles en mélange;;-340 €;Ferrailles en mélange -  NORD, EST, IDF;01/05/2021;01/01/2021;01/01/2021
CDP2123-REVIVAL ATHIS-MONS;;CDP2123-REVIVAL ATHIS-MONS;Evacuation;Ferrailles en mélange;;-340 €;Ferrailles en mélange -  NORD, EST, IDF;01/05/2021;01/01/2021;09/08/2021
CDP2123-NANTET - FRANCIN;;CDP2123-NANTET - FRANCIN;Evacuation;Platin dégradé ;;-20 €;Platin dégradé - CENTRE SUD-EST, SUD MEDITERRANEE;01/11/2020;09/02/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/11/2020;01/01/2021;01/01/2021
